"subject","game","choice"
1,"ac_1",1
1,"ac_2",3
1,"ac_3",3
1,"ac_4",1
1,"ac_5",2
1,"ac_6",3
1,"ac_7",3
1,"ac_8",3
1,"ac_9",3
1,"ac_10",3
2,"ac_1",3
2,"ac_2",1
2,"ac_3",1
2,"ac_4",1
2,"ac_5",1
2,"ac_6",1
2,"ac_7",3
2,"ac_8",3
2,"ac_9",1
2,"ac_10",3
3,"ac_1",1
3,"ac_2",1
3,"ac_3",1
3,"ac_4",1
3,"ac_5",1
3,"ac_6",3
3,"ac_7",3
3,"ac_8",3
3,"ac_9",3
3,"ac_10",3
4,"ac_1",1
4,"ac_2",3
4,"ac_3",3
4,"ac_4",2
4,"ac_5",2
4,"ac_6",2
4,"ac_7",1
4,"ac_8",2
4,"ac_9",3
4,"ac_10",3
5,"ac_1",3
5,"ac_2",3
5,"ac_3",1
5,"ac_4",1
5,"ac_5",3
5,"ac_6",3
5,"ac_7",3
5,"ac_8",3
5,"ac_9",3
5,"ac_10",3
6,"ac_1",3
6,"ac_2",2
6,"ac_3",1
6,"ac_4",3
6,"ac_5",2
6,"ac_6",1
6,"ac_7",1
6,"ac_8",1
6,"ac_9",2
6,"ac_10",1
7,"ac_1",1
7,"ac_2",1
7,"ac_3",1
7,"ac_4",1
7,"ac_5",1
7,"ac_6",3
7,"ac_7",1
7,"ac_8",3
7,"ac_9",3
7,"ac_10",3
8,"ac_1",3
8,"ac_2",1
8,"ac_3",1
8,"ac_4",2
8,"ac_5",1
8,"ac_6",3
8,"ac_7",2
8,"ac_8",3
8,"ac_9",3
8,"ac_10",3
9,"ac_1",3
9,"ac_2",3
9,"ac_3",1
9,"ac_4",3
9,"ac_5",3
9,"ac_6",3
9,"ac_7",3
9,"ac_8",3
9,"ac_9",1
9,"ac_10",1
10,"ac_1",3
10,"ac_2",3
10,"ac_3",3
10,"ac_4",1
10,"ac_5",1
10,"ac_6",3
10,"ac_7",3
10,"ac_8",3
10,"ac_9",3
10,"ac_10",3
11,"ac_1",1
11,"ac_2",1
11,"ac_3",3
11,"ac_4",3
11,"ac_5",3
11,"ac_6",3
11,"ac_7",3
11,"ac_8",1
11,"ac_9",2
11,"ac_10",3
12,"ac_1",3
12,"ac_2",1
12,"ac_3",3
12,"ac_4",1
12,"ac_5",1
12,"ac_6",1
12,"ac_7",3
12,"ac_8",1
12,"ac_9",3
12,"ac_10",3
13,"ac_1",3
13,"ac_2",1
13,"ac_3",2
13,"ac_4",3
13,"ac_5",1
13,"ac_6",3
13,"ac_7",3
13,"ac_8",3
13,"ac_9",1
13,"ac_10",1
14,"ac_1",3
14,"ac_2",3
14,"ac_3",3
14,"ac_4",2
14,"ac_5",2
14,"ac_6",3
14,"ac_7",1
14,"ac_8",3
14,"ac_9",1
14,"ac_10",3
15,"ac_1",1
15,"ac_2",1
15,"ac_3",1
15,"ac_4",1
15,"ac_5",2
15,"ac_6",1
15,"ac_7",3
15,"ac_8",1
15,"ac_9",1
15,"ac_10",1
16,"ac_1",3
16,"ac_2",3
16,"ac_3",1
16,"ac_4",3
16,"ac_5",3
16,"ac_6",3
16,"ac_7",3
16,"ac_8",1
16,"ac_9",3
16,"ac_10",3
17,"ac_1",3
17,"ac_2",2
17,"ac_3",2
17,"ac_4",2
17,"ac_5",2
17,"ac_6",3
17,"ac_7",2
17,"ac_8",3
17,"ac_9",3
17,"ac_10",3
18,"ac_1",1
18,"ac_2",2
18,"ac_3",1
18,"ac_4",1
18,"ac_5",1
18,"ac_6",3
18,"ac_7",3
18,"ac_8",1
18,"ac_9",3
18,"ac_10",1
19,"ac_1",2
19,"ac_2",1
19,"ac_3",2
19,"ac_4",3
19,"ac_5",1
19,"ac_6",3
19,"ac_7",1
19,"ac_8",3
19,"ac_9",2
19,"ac_10",1
20,"ac_1",1
20,"ac_2",3
20,"ac_3",2
20,"ac_4",2
20,"ac_5",2
20,"ac_6",2
20,"ac_7",3
20,"ac_8",1
20,"ac_9",3
20,"ac_10",3
21,"ac_1",2
21,"ac_2",1
21,"ac_3",1
21,"ac_4",1
21,"ac_5",2
21,"ac_6",3
21,"ac_7",3
21,"ac_8",2
21,"ac_9",3
21,"ac_10",1
22,"ac_1",3
22,"ac_2",3
22,"ac_3",3
22,"ac_4",3
22,"ac_5",3
22,"ac_6",3
22,"ac_7",3
22,"ac_8",3
22,"ac_9",3
22,"ac_10",3
23,"ac_1",3
23,"ac_2",1
23,"ac_3",1
23,"ac_4",1
23,"ac_5",1
23,"ac_6",3
23,"ac_7",3
23,"ac_8",3
23,"ac_9",3
23,"ac_10",3
24,"ac_1",2
24,"ac_2",3
24,"ac_3",3
24,"ac_4",1
24,"ac_5",1
24,"ac_6",1
24,"ac_7",1
24,"ac_8",2
24,"ac_9",3
24,"ac_10",1
25,"ac_1",1
25,"ac_2",1
25,"ac_3",3
25,"ac_4",2
25,"ac_5",1
25,"ac_6",3
25,"ac_7",3
25,"ac_8",1
25,"ac_9",3
25,"ac_10",3
26,"ac_1",3
26,"ac_2",3
26,"ac_3",3
26,"ac_4",3
26,"ac_5",3
26,"ac_6",3
26,"ac_7",3
26,"ac_8",3
26,"ac_9",1
26,"ac_10",3
27,"ac_1",3
27,"ac_2",1
27,"ac_3",1
27,"ac_4",1
27,"ac_5",1
27,"ac_6",3
27,"ac_7",1
27,"ac_8",3
27,"ac_9",2
27,"ac_10",3
28,"ac_1",3
28,"ac_2",1
28,"ac_3",2
28,"ac_4",2
28,"ac_5",2
28,"ac_6",3
28,"ac_7",3
28,"ac_8",3
28,"ac_9",3
28,"ac_10",3
29,"ac_1",1
29,"ac_2",1
29,"ac_3",1
29,"ac_4",1
29,"ac_5",1
29,"ac_6",1
29,"ac_7",1
29,"ac_8",1
29,"ac_9",1
29,"ac_10",1
30,"ac_1",3
30,"ac_2",3
30,"ac_3",1
30,"ac_4",1
30,"ac_5",2
30,"ac_6",3
30,"ac_7",3
30,"ac_8",3
30,"ac_9",3
30,"ac_10",3
31,"ac_1",3
31,"ac_2",3
31,"ac_3",1
31,"ac_4",1
31,"ac_5",1
31,"ac_6",3
31,"ac_7",3
31,"ac_8",3
31,"ac_9",3
31,"ac_10",3
32,"ac_1",1
32,"ac_2",3
32,"ac_3",3
32,"ac_4",2
32,"ac_5",3
32,"ac_6",3
32,"ac_7",3
32,"ac_8",3
32,"ac_9",1
32,"ac_10",3
33,"ac_1",3
33,"ac_2",1
33,"ac_3",1
33,"ac_4",1
33,"ac_5",1
33,"ac_6",1
33,"ac_7",1
33,"ac_8",1
33,"ac_9",1
33,"ac_10",1
34,"ac_1",1
34,"ac_2",1
34,"ac_3",2
34,"ac_4",1
34,"ac_5",2
34,"ac_6",3
34,"ac_7",1
34,"ac_8",1
34,"ac_9",1
34,"ac_10",3
35,"ac_1",2
35,"ac_2",1
35,"ac_3",3
35,"ac_4",3
35,"ac_5",1
35,"ac_6",3
35,"ac_7",1
35,"ac_8",3
35,"ac_9",1
35,"ac_10",1
36,"ac_1",1
36,"ac_2",2
36,"ac_3",2
36,"ac_4",2
36,"ac_5",2
36,"ac_6",3
36,"ac_7",3
36,"ac_8",3
36,"ac_9",2
36,"ac_10",3
37,"ac_1",3
37,"ac_2",1
37,"ac_3",1
37,"ac_4",1
37,"ac_5",2
37,"ac_6",2
37,"ac_7",2
37,"ac_8",1
37,"ac_9",1
37,"ac_10",3
38,"ac_1",1
38,"ac_2",2
38,"ac_3",2
38,"ac_4",1
38,"ac_5",1
38,"ac_6",1
38,"ac_7",1
38,"ac_8",2
38,"ac_9",1
38,"ac_10",2
39,"ac_1",2
39,"ac_2",2
39,"ac_3",1
39,"ac_4",2
39,"ac_5",2
39,"ac_6",1
39,"ac_7",1
39,"ac_8",1
39,"ac_9",2
39,"ac_10",3
40,"ac_1",3
40,"ac_2",3
40,"ac_3",1
40,"ac_4",1
40,"ac_5",2
40,"ac_6",1
40,"ac_7",3
40,"ac_8",1
40,"ac_9",1
40,"ac_10",3
41,"ac_1",3
41,"ac_2",1
41,"ac_3",1
41,"ac_4",1
41,"ac_5",1
41,"ac_6",3
41,"ac_7",3
41,"ac_8",3
41,"ac_9",3
41,"ac_10",3
42,"ac_1",2
42,"ac_2",1
42,"ac_3",2
42,"ac_4",1
42,"ac_5",1
42,"ac_6",2
42,"ac_7",1
42,"ac_8",2
42,"ac_9",1
42,"ac_10",3
43,"ac_1",1
43,"ac_2",3
43,"ac_3",3
43,"ac_4",3
43,"ac_5",3
43,"ac_6",3
43,"ac_7",3
43,"ac_8",3
43,"ac_9",3
43,"ac_10",3
44,"ac_1",1
44,"ac_2",2
44,"ac_3",3
44,"ac_4",2
44,"ac_5",1
44,"ac_6",2
44,"ac_7",2
44,"ac_8",3
44,"ac_9",3
44,"ac_10",3
45,"ac_1",1
45,"ac_2",3
45,"ac_3",1
45,"ac_4",2
45,"ac_5",1
45,"ac_6",3
45,"ac_7",1
45,"ac_8",3
45,"ac_9",1
45,"ac_10",1
46,"ac_1",1
46,"ac_2",1
46,"ac_3",1
46,"ac_4",1
46,"ac_5",1
46,"ac_6",3
46,"ac_7",3
46,"ac_8",3
46,"ac_9",3
46,"ac_10",3
47,"ac_1",2
47,"ac_2",3
47,"ac_3",1
47,"ac_4",1
47,"ac_5",1
47,"ac_6",3
47,"ac_7",3
47,"ac_8",3
47,"ac_9",3
47,"ac_10",3
48,"ac_1",1
48,"ac_2",3
48,"ac_3",3
48,"ac_4",2
48,"ac_5",1
48,"ac_6",2
48,"ac_7",3
48,"ac_8",1
48,"ac_9",1
48,"ac_10",3
49,"ac_1",1
49,"ac_2",1
49,"ac_3",1
49,"ac_4",1
49,"ac_5",1
49,"ac_6",1
49,"ac_7",1
49,"ac_8",1
49,"ac_9",1
49,"ac_10",1
50,"ac_1",3
50,"ac_2",2
50,"ac_3",3
50,"ac_4",1
50,"ac_5",1
50,"ac_6",1
50,"ac_7",1
50,"ac_8",3
50,"ac_9",1
50,"ac_10",3
51,"ac_1",3
51,"ac_2",1
51,"ac_3",2
51,"ac_4",1
51,"ac_5",1
51,"ac_6",3
51,"ac_7",3
51,"ac_8",3
51,"ac_9",1
51,"ac_10",3
52,"ac_1",1
52,"ac_2",1
52,"ac_3",1
52,"ac_4",1
52,"ac_5",3
